,Unnamed: 0,Date,Broke Lock,Time of Peak,Vert. Vel.,Horiz. Vel.,Ratio V/H,Time of Lost Lock (LL),LL Vert. Vel.,LL Horiz. Vel.
12,12,2019-05-15 06:39:00,Yes,1241937558,194.8307,533.0323249418046,0.3655138551330282,1241936838,91.52239,461.0190326374103
13,13,2019-05-15 15:18:00,No,1241968698,136.85101,275.50971617777344,0.4967193603861741,-,-,-
14,14,2019-05-16 02:32:00,No,1242009138,310.10968,760.2605331651841,0.4078992220060718,-,-,-
15,15,2019-05-16 16:35:00,Yes,1242059718,1806.1486,3319.577467153199,0.5440899083909362,1242059178,94.48778,79.08495321980435
16,16,2019-05-16 23:23:00,Yes,1242084198,362.8608,920.2563845157848,0.3943040288614003,1242084138,326.1195,870.2108651400317
17,17,2019-05-17 20:41:00,Yes,1242160878,249.87383,1184.8770232742086,0.2108858768393665,1242160638,33.767365,540.0456743490296
18,18,2019-05-17 23:49:00,No,1242172158,423.96808,931.968444900906,0.4549167756909189,-,-,-
19,19,2019-05-18 03:31:00,Yes,1242185478,126.54483,224.57106600281455,0.5634956998352317,1242184278,45.263855,103.25025036768193
20,20,2019-05-19 02:24:00,Yes,1242267858,1720.0547,4062.371045295289,0.4234115202233997,1242267558,902.9177,3092.287458189697
21,21,2019-05-19 15:57:00,Yes,1242316638,1407.2961,3161.6506699694355,0.4451143554115688,1242316398,979.31256,2619.4464554385095
22,22,2019-05-21 21:40:00,No,1242510018,178.55229,741.114088083773,0.240924161166151,-,-,-
23,23,2019-05-22 02:11:00,No,1242526278,177.85658,377.6910220612468,0.4709049715541255,-,-,-
24,24,2019-05-22 22:16:00,No,1242598578,131.95816,635.9071086665241,0.2075116918832875,-,-,-
25,25,2019-05-23 09:31:00,Yes,1242639078,915.11633,2613.8732292643194,0.3500997369553233,1242638598,415.08566,1331.5441307325964
26,26,2019-05-23 16:02:00,No,1242662538,201.8723,492.8776409648147,0.4095789364776869,-,-,-
27,27,2019-05-23 19:14:00,No,1242674058,209.10878,760.3515031207097,0.2750159355794722,-,-,-
28,28,2019-05-26 08:04:00,Yes,1242893058,48124.574,110567.92073562431,0.4352489734800137,1242892098,54.575146,70.20210353567059
29,29,2019-05-27 10:24:00,Yes,1242987858,430.4393,1599.4031288689227,0.2691249580738291,1242987738,315.47296,1370.1604522481955
30,30,2019-05-30 09:17:00,Yes,1243243038,36494.984,63308.76872595316,0.5764601765985544,1243242438,165.51851,59.22687486017074
31,31,2019-05-30 12:16:00,No,1243253778,221.7857,325.17094629128536,0.6820587833247754,-,-,-
32,32,2019-05-30 16:05:00,No,1243267518,120.42678,294.92306689391523,0.4083328620860907,-,-,-
33,33,2019-05-31 07:54:00,No,1243324458,331.3626,926.4042501898024,0.3576868304869177,-,-,-
34,34,2019-05-31 12:18:00,Yes,1243340298,1819.9022,5838.722775824444,0.311695257657275,1243339338,676.6367,580.68247119711
0,0,2019-06-01 05:21:00,No,1243401678,109.962585,223.71971964838437,0.4915194117569337,-,-,-
1,1,2019-06-02 11:34:00,Yes,1243510458,1473.7117,4476.027484787319,0.329245453699448,1243510038,419.20197,1001.3920262332033
2,2,2019-06-03 07:34:00,Yes,1243582458,1039.3066,1863.9230126076448,0.5575909482151843,1243581258,90.526596,245.326690147016
3,3,2019-06-04 05:08:00,No,1243660098,303.83752,593.8913500583043,0.5116045552274355,-,-,-
4,4,2019-06-10 09:26:00,No,1244193978,152.74939,348.49234238044784,0.4383149109005214,-,-,-
5,5,2019-06-10 18:22:00,No,1244226138,151.10509,335.3366890683489,0.4506070910994218,-,-,-
6,6,2019-06-13 03:56:00,No,1244433378,123.42868,390.3592524452096,0.3161925309233558,-,-,-
7,7,2019-06-14 00:51:00,Yes,1244508678,965.1438,2565.6849577772737,0.376173932451992,1244507898,499.26254,1313.802929835735
8,8,2019-06-14 04:51:00,No,1244523078,179.11035,457.5610552379492,0.3914457927518674,-,-,-
9,9,2019-06-14 16:47:00,No,1244566038,187.86636,533.7053447450423,0.3520038947515994,-,-,-
10,10,2019-06-14 21:11:00,No,1244581878,122.91957,411.4518806534544,0.2987459184893825,-,-,-
11,11,2019-06-16 01:13:00,Yes,1244682798,5837.2036,10633.704400873456,0.5489341606599982,1244681598,1239.6895,3347.279928602859
12,12,2019-06-16 06:11:00,Yes,1244700678,676.41956,2200.233084617209,0.3074308648157073,1244700918,507.42554,2370.880431503059
13,13,2019-06-16 22:07:00,No,1244758038,132.70757,316.69265898776814,0.4190421414382253,-,-,-
14,14,2019-06-17 07:08:00,Yes,1244790498,767.28937,2782.258112079129,0.2757793630536381,1244789958,460.7169,1394.4717280847153
15,15,2019-06-17 11:47:00,No,1244807238,142.97235,305.5866552765536,0.4678618896843225,-,-,-
16,16,2019-06-17 16:13:00,Yes,1244823198,848.0835,2242.335266139557,0.3782144056718489,1244822598,236.11015,3024.8035922017852
17,17,2019-06-18 14:25:00,Yes,1244903118,2740.8086,6978.448263005713,0.3927533022677302,1244901918,719.05444,1599.7684022787423
18,18,2019-06-18 17:14:00,Yes,1244913258,825.79047,1761.559405366237,0.4687837761726316,1244912058,156.06284,489.93821428988576
19,19,2019-06-18 21:30:00,Yes,1244928618,128.06549,328.6637258783088,0.3896550787823101,1244927418,15.55226,98.60726461378692
20,20,2019-06-19 07:57:00,Yes,1244966238,793.78186,2890.1097695880844,0.2746545713774513,1244965038,266.0706,669.1376142684364
21,21,2019-06-19 18:41:00,Yes,1245004878,1331.6819,3267.595356981536,0.4075418632098163,1245003978,347.91217,994.258095929952
22,22,2019-06-20 00:18:00,No,1245025098,404.58432,900.6601350212464,0.4492086462675023,-,-,-
23,23,2019-06-21 09:48:00,Yes,1245145698,1191.729,3169.6040234338075,0.3759867135418809,1245144678,501.65588,1150.248344936123
24,24,2019-06-22 09:00:00,Yes,1245229218,289.3547,1408.0637794964011,0.2054982907830273,1245228438,8.317202,62.634968407578846
25,25,2019-06-22 13:23:00,Yes,1245244998,790.7828,1539.8238711049164,0.513554059551347,1245244398,329.17923,742.0689688016429
26,26,2019-06-22 22:50:00,Yes,1245279018,786.8275,2175.8408280337144,0.3616199723171148,1245278958,576.6599,2237.03960677948
27,27,2019-06-23 04:13:00,Yes,1245298398,3753.2498,17519.666053465455,0.2142306701820719,1245297198,10.23404,32.628177409933585
28,28,2019-06-24 04:08:00,Yes,1245384498,6862.8784,12075.926924828464,0.5683106930607305,1245383298,2432.2893,8176.443253330387
29,29,2019-06-24 12:45:00,Yes,1245415518,847.2501,1754.4211104626506,0.4829228826234172,1245414558,510.29013,1096.969576887732
30,30,2019-06-24 18:26:00,Yes,1245435978,127.49174,666.4847575384053,0.1912898060427937,1245434778,55.310566,146.7206345877423
31,31,2019-06-25 07:50:00,No,1245484218,168.4849,289.6396696832877,0.5817051931602919,-,-,-
32,32,2019-06-25 09:54:00,Yes,1245491658,3391.4988,7415.796107006499,0.4573344184578762,1245490518,490.57874,1214.4398732863797
33,33,2019-06-26 03:07:00,Yes,1245553638,8871.044,18146.987276511107,0.4888438981539598,1245552438,620.1791,1623.5102923121276
34,34,2019-06-26 05:42:00,Yes,1245562938,4250.4863,9315.38059711078,0.4562869177152368,1245561738,96.77493,238.6103997545692
35,35,2019-06-27 12:08:00,Yes,1245672498,1012.63666,2882.803632980167,0.3512679977280182,1245671958,499.38315,1590.111799453334
36,36,2019-06-28 16:57:00,Yes,1245776238,498.8774,1038.2454859694997,0.48050042763649,1245775038,307.9042,652.826299883994
37,37,2019-06-28 19:24:00,No,1245785058,138.086,398.38416476752303,0.3466151825602306,-,-,-
38,38,2019-06-29 20:35:00,No,1245875718,107.36323,210.863689947606,0.5091594006852338,-,-,-
0,0,2019-07-01 18:22:00,No,1246040538,130.58334,240.9286113538251,0.54200013550166,-,-,-
1,1,2019-07-02 08:59:00,No,1246093158,136.7379,252.7886729438999,0.540917828348842,-,-,-
2,2,2019-07-02 11:14:00,No,1246101258,174.11368,286.50636378608084,0.6077131331365522,-,-,-
3,3,2019-07-02 18:53:00,Yes,1246128798,133.09091,482.5120469436613,0.275829196064694,1246127598,10.85929,47.96607001918607
4,4,2019-07-03 05:12:00,Yes,1246165938,426.6835,1404.026134964321,0.3038999697899803,1246165578,169.06111,1325.0685487774533
5,5,2019-07-04 04:56:00,Yes,1246251378,37915.258,74953.53753442166,0.5058501472674028,1246250358,523.5677,266.85235418388066
6,6,2019-07-04 17:51:00,Yes,1246297878,27724.906,71660.64103622295,0.3868916827856122,1246297158,1233.7833,975.232719797594
7,7,2019-07-05 13:23:00,Yes,1246368198,4584.2646,8727.557161701148,0.525263199663358,1246366998,21.001863,65.41518295151175
8,8,2019-07-06 03:36:00,Yes,1246419378,101645.94,239496.2131617571,0.4244156459014563,1246418718,3614.0244,2535.133485137508
