,ETMX_Z,ITMY_Z,ETMY_Z,ETMX_X,ITMY_Y,ETMY_Y
5307,32.458374,29.964935,30.673948,83.5026,80.87922,79.41055
5308,32.417645,29.88068,30.473024,90.20626,74.67771,75.32862
5309,27.19872,25.254498,26.63124,99.233864,63.35343,67.87448
5310,26.214739,25.02699,26.971207,108.75524,62.413475,62.974403
5311,26.223557,25.342606,26.142502,104.97155,63.989532,63.4888
5312,26.25743,24.35366,23.012234,98.2417,67.353,71.257164
5313,30.41966,26.846746,28.972418,92.755585,65.95433,70.433
5314,34.9871,29.169489,32.05698,93.08214,67.410065,69.04229
5315,35.362976,30.220034,32.580456,88.29045,71.85459,69.72087
5316,40.40748,34.602093,35.40374,83.02541,66.70676,65.260056
5317,44.23418,35.44599,37.09943,78.37117,74.10658,68.062645
5318,41.37233,33.463272,35.77395,74.5077,74.10645,65.91819
5319,39.642113,34.758423,38.667423,71.7587,66.54057,72.99191
5320,39.46388,34.44642,38.56318,80.04222,65.63596,76.64949
5321,39.012844,33.165462,37.98289,85.43475,67.94235,78.89878
5322,36.525326,31.159773,35.489773,83.02446,72.25175,81.39979
5323,32.8178,27.565687,30.641113,80.00249,71.17697,81.15417
5324,30.85156,28.21442,30.146545,70.38341,66.7298,75.44828
5325,33.014637,29.095224,30.74754,70.19026,72.22619,75.85781
5326,41.936794,37.924137,39.81518,92.821304,87.31838,89.72804
5327,44.13288,44.092968,46.167297,99.9769,91.37358,90.170944
5328,47.32531,46.694527,47.928036,97.92537,105.8107,97.59793
5329,45.305725,45.496315,46.38218,96.40865,110.41993,113.45351
5330,42.514843,42.607796,43.54815,89.69034,105.273994,107.68827
5331,39.323036,38.000683,40.652004,76.865425,99.838776,97.61178
5332,39.239758,37.001755,40.025734,74.13822,98.579384,95.33348
5333,36.456882,35.820347,38.7583,75.92842,91.20858,89.48147
5334,36.086628,33.23565,36.836075,73.30155,94.92778,93.09555
5335,39.025223,34.67168,38.59815,71.38487,104.14064,104.61319
5336,43.38486,35.512516,39.802643,74.91134,104.69405,104.11671
5337,45.213707,38.689842,41.617256,71.61859,92.725845,92.43173
5338,44.358868,38.193024,41.185383,78.06928,83.19805,85.9009
5339,38.35676,34.76592,38.42166,79.06886,78.28333,81.46846
5340,39.50646,36.477028,38.85739,90.228035,89.07781,91.29691
5341,38.20823,35.771904,37.117558,89.47025,87.57053,91.007095
5342,40.421764,34.69007,35.85587,89.84738,85.93361,107.40616
5343,39.340458,32.367195,35.351585,87.809975,85.93378,106.66962
5344,35.762737,31.671434,32.082863,83.29776,82.55512,101.755516
5345,38.1789,35.373543,40.4081,82.26615,74.341995,86.8324
5346,40.350246,36.982674,41.45879,74.642975,74.42648,84.8192
5347,38.498726,35.122787,38.399925,97.63301,82.26304,93.43053
5348,39.77092,33.201927,36.631424,101.568855,87.755135,99.460045
5349,41.90698,34.042423,38.15817,103.336296,88.42106,97.94631
5350,42.959763,34.295998,41.698185,90.352745,97.16026,99.493866
5351,42.838943,34.07247,41.812363,82.66333,99.97295,106.12717
5352,38.114914,30.507462,38.633396,81.373856,99.344925,106.10913
5353,32.823578,26.902752,33.844982,88.54115,93.67721,99.92595
5354,33.029324,30.73532,32.113365,88.71155,84.006256,86.83054
5355,45.290733,42.617985,45.038204,96.63575,92.42062,97.35338
5356,46.395676,42.8379,46.73021,97.50121,90.94369,98.16241
5357,42.523632,40.932816,42.007412,86.63438,91.52706,102.596245
5358,40.361477,38.806396,39.301193,82.81845,85.42445,98.81674
5359,37.224735,35.372757,36.706535,81.13569,80.10754,91.3434
5360,34.644554,32.588387,34.98873,75.31418,73.26697,83.5824
5361,30.720753,29.212372,31.461391,72.44817,73.743256,82.80917
5362,30.646963,28.691813,29.930143,81.01585,73.54575,77.68471
5363,28.299982,25.164782,27.018494,94.576935,72.17157,71.445816
5364,30.263205,24.83244,28.339752,94.447075,70.72903,70.4762
5365,34.92797,30.807312,32.876896,96.11781,83.29218,79.872055
5366,40.74688,35.441963,37.871155,97.131874,81.80774,79.60369
5367,43.25007,36.45253,38.959805,110.59475,80.220894,76.0856
5368,40.6086,34.850475,36.752796,108.39142,85.102066,81.74445
5369,36.535587,31.235287,33.62426,108.390434,82.28354,89.67103
5370,39.3843,36.08024,36.80368,93.54508,85.51105,89.244995
5371,40.09642,38.164803,37.193996,98.115524,77.82956,83.156105
5372,37.562023,35.809883,35.82283,97.039825,73.20817,83.00287
5373,33.857155,32.99169,32.191715,85.96167,67.72797,75.115746
5374,31.324883,31.017979,29.80838,84.425644,67.1247,75.17544
5375,37.479443,35.440147,35.87664,81.41874,84.8421,81.66874
5376,39.769833,37.475918,39.692158,77.97765,84.00616,80.925064
5377,38.46112,35.252636,37.894012,73.226204,81.28692,76.62036
5378,42.31919,41.476177,44.703644,68.36594,96.469185,83.80366
5379,42.33859,41.387707,44.691536,67.42932,98.29721,87.3864
5380,40.845577,39.75495,44.537716,79.044914,104.93362,88.273026
5381,38.575424,36.61993,41.334286,80.496796,101.73237,89.828156
5382,36.50821,33.409832,38.070644,80.19449,95.68994,90.17867
5383,33.69096,31.40583,34.985935,81.85068,87.80983,83.62144
5384,33.78169,29.434456,32.75386,79.507225,88.62313,89.88625
5385,33.62315,28.374643,32.54299,87.99392,88.481125,91.04433
5386,37.50954,35.11708,36.676895,93.232796,93.18345,89.755806
5387,37.509323,36.654762,37.59019,92.09575,89.58762,86.825645
5388,37.298565,37.086693,40.56964,84.21635,82.784485,77.57519
5389,40.558075,40.808002,45.21666,79.654526,78.59365,77.643074
5390,39.34924,39.801212,44.45891,85.748245,76.5847,75.676834
5391,35.98554,34.689697,38.774506,94.51471,69.687096,65.20217
5392,34.118046,30.585157,34.905323,96.22747,68.77263,62.540478
5393,31.216768,27.02398,33.42901,101.42315,64.6777,62.79734
5394,33.830368,32.52033,36.101078,98.9647,72.607796,72.83804
5395,39.930157,38.220573,41.656353,95.805504,79.657936,75.99097
5396,41.726707,39.35307,41.272038,97.21845,82.736496,75.27689
5397,41.20476,38.687576,40.8016,87.91108,80.96651,74.29074
5398,37.691643,36.467495,38.746243,82.08671,74.74759,71.85696
5399,35.70157,33.72952,39.21109,76.01689,74.8808,73.5199
5400,34.945625,31.940256,38.918453,71.58631,76.46213,75.79383
5401,32.29562,29.30176,34.73837,74.134125,73.26988,78.92288
5402,36.758785,33.241516,30.823559,68.07081,70.43861,75.8915
5403,44.13235,41.690544,38.983326,80.887,69.91499,80.92752
5404,43.728794,41.239883,39.23087,92.57001,66.299995,78.86112
5405,39.892433,37.3465,36.98326,98.68447,64.42332,79.23033
5406,38.145573,33.757828,34.806576,97.922676,64.17055,80.63017
5407,35.19738,31.900482,33.587208,98.590645,62.60507,75.44564
5408,35.747894,32.238544,34.12339,94.79125,65.330505,81.94703
5409,34.209064,32.272552,33.233215,90.826645,66.47909,84.52038
5410,35.064777,30.359007,33.305,83.40255,68.70918,88.878876
