,Date,Segment Start Time,Segment End Time,Time of Max Velocity,Max Velocity,Median Velocity,Last Velocity,Broke Lock
0,2020-02-01,1264550418,1264575698,1264555589,311.3686828613281,133.56834411621094,178.40823364257812,No
1,2020-02-01,1264578599,1264610473,1264580695,364.8183288574219,143.9349822998047,181.60165405273438,No
2,2020-02-01,1264612075,1264636818,1264618645,359.4488830566406,171.0384521484375,121.92321014404297,No
3,2020-02-02,1264636818,1264723218,1264650919,2997.98486328125,112.3919448852539,103.71308135986328,No
4,2020-02-03,1264723218,1264769389,1264752814,282.0596923828125,111.92765808105469,114.66532897949219,No
5,2020-02-03,1264778559,1264780665,1264778721,264.4983215332031,149.42453002929688,112.94705963134766,No
6,2020-02-03,1264782897,1264809618,1264800700,441.6274719238281,162.10194396972656,135.84619140625,No
7,2020-02-04,1264809618,1264822064,1264819563,403.7639465332031,155.87738037109375,146.12057495117188,No
8,2020-02-04,1264822366,1264864035,1264863863,563.5255126953125,180.82872009277344,360.68231201171875,No
9,2020-02-04,1264884301,1264896018,1264887808,462.17364501953125,199.35243225097656,162.2498016357422,No
10,2020-02-05,1264896018,1264924641,1264899398,398.8876037597656,172.47190856933594,121.4142074584961,No
11,2020-02-05,1264927676,1264962696,1264962694,7329.56396484375,165.5905303955078,7323.87255859375,Yes
12,2020-02-05,1264966308,1264970259,1264966387,427.9249572753906,196.1453857421875,189.37149047851562,No
13,2020-02-05,1264973309,1264982418,1264974833,616.507080078125,240.8411865234375,311.187255859375,No
14,2020-02-06,1264982418,1265025132,1265024892,944.3380126953125,272.15203857421875,456.14385986328125,No
15,2020-02-06,1265046270,1265051611,1265046422,745.8502807617188,406.1458435058594,442.36895751953125,No
16,2020-02-06,1265061066,1265061121,1265061112,774.5042724609375,466.5232849121094,703.3436889648438,Yes
17,2020-02-06,1265061123,1265068818,1265064267,1047.5257568359375,501.07489013671875,664.0465087890625,No
18,2020-02-07,1265068818,1265106210,1265081330,1151.601806640625,410.9580383300781,402.311767578125,No
19,2020-02-07,1265106212,1265133149,1265127892,769.0048828125,238.65316772460938,167.6381072998047,No
20,2020-02-07,1265140069,1265155218,1265146837,751.6640014648438,179.22103881835938,279.50897216796875,No
21,2020-02-08,1265155218,1265241618,1265212668,1210.8621826171875,169.63308715820312,144.77542114257812,No
22,2020-02-09,1265241618,1265328018,1265267348,2019.35595703125,185.73960876464844,264.4693603515625,No
23,2020-02-10,1265328018,1265414418,1265340732,454.40478515625,208.89358520507812,211.0052947998047,No
24,2020-02-11,1265414418,1265431564,1265416340,454.7400817871094,197.41114807128906,129.9606170654297,No
25,2020-02-11,1265434911,1265468518,1265455236,426.4010009765625,163.0750732421875,155.3974151611328,No
26,2020-02-11,1265487927,1265500818,1265494809,357.3003845214844,139.54302978515625,112.53514862060547,No
27,2020-02-12,1265500818,1265502574,1265501649,195.9706268310547,119.38883209228516,83.02669525146484,No
28,2020-02-12,1265505078,1265509301,1265506654,204.74012756347656,116.25383758544922,134.1451873779297,No
29,2020-02-12,1265509454,1265521070,1265515399,262.3999328613281,109.24838256835938,140.11444091796875,No
30,2020-02-12,1265524900,1265548853,1265536070,309.766357421875,104.64334106445312,115.88563537597656,No
31,2020-02-12,1265555201,1265563394,1265559155,268.8935852050781,139.12554931640625,192.3068084716797,No
32,2020-02-12,1265565797,1265575652,1265572749,430.9738464355469,214.76943969726562,169.00694274902344,No
33,2020-02-12,1265575654,1265587218,1265580236,725.0304565429688,223.0235137939453,287.71893310546875,No
34,2020-02-13,1265587218,1265607177,1265605227,319.7290954589844,159.7995147705078,217.1186065673828,No
35,2020-02-13,1265616620,1265626078,1265625997,4424.99609375,210.0640869140625,2257.297607421875,Yes
36,2020-02-13,1265648869,1265673618,1265673539,492.94036865234375,244.1422119140625,265.9259338378906,Yes
37,2020-02-14,1265673618,1265756347,1265746390,784.040283203125,256.03369140625,382.7607421875,No
38,2020-02-16,1265853060,1265932818,1265857422,810.805908203125,238.89537048339844,165.0171661376953,No
39,2020-02-17,1265932818,1266019218,1265992537,588.4653930664062,127.29995727539062,167.67112731933594,No
40,2020-02-18,1266019218,1266048282,1266046817,1419.518798828125,85.18962097167969,461.1127014160156,No
41,2020-02-18,1266053906,1266064790,1266057033,181.72608947753906,87.01834869384766,108.6601791381836,No
42,2020-02-18,1266067254,1266073787,1266073290,361.3818664550781,103.7501220703125,113.79571533203125,No
43,2020-02-18,1266096457,1266105618,1266098253,449.1748352050781,105.74169921875,139.1284942626953,No
44,2020-02-19,1266105618,1266116309,1266106062,234.1966094970703,85.57496643066406,77.937255859375,No
45,2020-02-19,1266124029,1266191124,1266184911,720.2086181640625,107.49272155761719,97.62837219238281,No
46,2020-02-20,1266195649,1266263244,1266263240,1687.458740234375,141.9052734375,1640.9456787109375,Yes
47,2020-02-20,1266269596,1266270424,1266270403,484.5093078613281,299.39434814453125,412.6016845703125,Yes
48,2020-02-20,1266270426,1266270468,1266270426,394.80157470703125,324.2497863769531,290.30157470703125,Yes
49,2020-02-20,1266270470,1266278418,1266274595,581.3062133789062,302.26593017578125,292.9045715332031,No
