,ETMX_Z,ITMY_Z,ETMY_Z,ETMX_X,ITMY_Y,ETMY_Y
0,1220.2361,785.9896,822.1166,1291.4078,1686.5259,1736.743
1,1062.7081,1173.9896,705.16626,1277.0985,1893.7684,1735.4633
2,916.6318,1173.9738,823.0763,1848.0299,2160.979,1822.5084
3,998.92566,986.66235,921.8296,1551.323,1914.2137,1822.5521
4,914.3093,1035.3618,936.7978,1755.9115,1692.0795,1982.5249
5,871.7725,1040.3613,1016.9289,1641.3195,1361.0703,1731.3096
6,993.2672,808.6512,938.8103,1527.1797,1312.7683,1472.7831
7,1195.2043,1058.813,982.8441,1551.074,1956.5588,1395.0737
8,1178.0117,933.4111,942.8063,1541.2749,1838.1284,1589.6017
9,1067.3851,955.6033,785.36615,1537.5239,1584.6302,1479.633
10,1183.3954,1038.528,993.8756,1220.8114,1758.6252,1441.8937
11,1175.4689,1058.6815,940.07935,1584.4537,1747.0267,1447.2888
12,1088.366,1062.6993,777.14166,1603.1476,1627.392,1497.9742
13,1119.4784,1176.8555,921.8347,1656.7883,1476.5231,1774.7792
14,1026.1522,1113.9254,927.01215,2109.011,1490.229,1846.9812
15,1214.8096,1014.0193,810.8053,2035.5531,1509.9164,1789.8182
16,1141.1328,1009.6093,998.44727,1528.3136,1547.9998,1705.66
17,1092.3143,838.60486,1243.7285,1351.7509,1586.8707,1287.8284
18,1011.7423,1045.3201,1164.1156,1444.8226,1748.6038,1758.1975
19,926.3962,1037.6375,884.75385,1505.5715,1768.8601,1836.5233
20,847.3736,1104.5438,908.5294,1345.2208,1471.4799,1788.5022
21,909.63104,1089.9662,904.79675,1649.571,1349.4855,1984.2783
22,885.82227,843.2751,901.85315,1649.5154,1331.3184,1776.5741
23,944.82385,837.5828,963.61993,1475.7947,1757.6503,1697.5286
24,897.07904,922.12787,824.25415,1474.7675,1856.1649,1881.7865
25,819.7823,844.97876,948.1243,1403.1285,1831.0588,1948.6157
26,1058.1909,1015.7501,1023.32715,1502.6807,1530.7249,1810.0863
27,1044.3795,969.90405,901.2826,1462.6052,1652.3723,1585.7155
28,931.03845,954.1069,910.7537,1462.82,1614.938,1760.4419
29,897.08746,978.28357,905.67145,1465.5455,1447.9888,1639.8926
30,1049.4395,932.29285,1056.3055,1643.2667,1373.3728,1450.852
31,1006.5795,816.73834,1062.8925,1746.645,1535.8928,1381.9359
32,1015.6357,664.0705,959.2,1622.331,1484.5099,1521.7573
33,981.4175,843.91174,860.9195,1576.473,1353.6782,1445.6036
34,987.7005,980.5761,950.6704,1513.9889,1681.0815,1382.6217
35,916.0668,957.3181,870.0673,1442.9182,1750.4055,1816.0223
36,809.8096,881.10754,882.40497,1791.5155,1497.4104,1753.8417
37,808.81165,1106.5787,876.3754,1642.819,1498.6166,1307.3643
38,911.7122,1044.9478,806.2602,1620.4276,1656.8557,1738.5802
39,995.7321,938.6763,787.71564,1612.3107,1612.3777,1778.1508
40,1000.9664,882.6114,925.48517,1295.0446,1513.5895,1724.611
41,1048.1301,897.5356,834.9848,1243.5911,1516.3386,1375.5404
42,939.08136,896.9546,1211.533,1213.389,1316.5333,1519.9838
43,1043.6597,969.305,1171.6453,1263.1165,1605.1377,1414.1976
44,966.22894,972.8653,987.0513,1294.0234,1424.1876,1452.6407
45,946.8331,1044.6288,987.6316,1377.3654,1518.3075,1539.5918
46,1052.9895,1005.4632,1049.2931,1484.8346,1494.6182,1495.6818
47,1046.6117,774.22986,994.5081,1588.3513,1385.4711,1603.5184
48,963.4867,720.2053,866.5182,1514.683,1760.8134,1548.5919
49,1083.2797,741.31683,876.55884,1559.3191,1704.955,1769.6736
50,1086.3606,921.36334,1144.7866,1514.953,1513.4226,1702.108
51,864.8128,1017.79474,970.82324,1670.9784,1333.1293,1501.2131
52,793.662,848.1261,886.28375,1612.551,1510.0121,1315.1726
53,939.312,764.8373,1003.7677,1830.8518,1502.8555,1427.4341
54,887.7303,946.50793,920.8511,1850.5165,1322.9742,1408.3749
55,1146.886,1018.60516,931.69305,1880.4768,1321.3497,1377.1215
56,1078.8196,868.2658,962.77344,1369.3387,1377.6919,1520.0586
57,1057.753,862.6182,983.9345,1544.2758,1389.2689,1628.2557
58,950.41986,869.12775,927.70087,1700.132,1535.5988,1831.4491
59,964.26746,823.2028,842.915,1446.0857,1609.9796,1726.8562
60,868.67444,854.6748,877.07776,1238.7339,1741.0992,1518.6927
61,925.54456,970.80743,939.87024,1444.4578,1541.8318,1390.9434
62,891.36365,944.716,994.88153,1175.4181,1458.3617,1270.9277
63,961.4536,939.14984,909.0497,1128.0675,1449.987,1556.2532
64,890.1513,938.6683,773.53156,1575.4083,1468.9991,1567.5396
65,922.4379,822.22266,933.677,1527.0803,1740.1716,1566.4089
66,913.8422,918.7469,839.3072,1585.0935,1704.2161,1741.4357
67,881.3816,765.9979,723.7997,1645.3357,1615.8175,1735.5157
68,944.9152,769.1531,728.3561,1652.3636,1492.1549,1462.0111
69,931.8655,861.8237,874.669,1435.2657,1448.8488,1550.4845
70,897.4196,869.94476,972.03845,1601.1393,1383.3309,1292.2937
71,808.2387,890.70496,918.1567,1566.4111,1278.9725,1388.43
72,938.0359,829.60834,789.6862,1384.2948,1413.7151,1507.8195
73,965.8973,712.2635,653.8254,1483.892,1411.0804,1479.5386
74,944.5742,865.8167,767.4689,1431.9711,1535.2797,1563.4532
75,951.92114,909.99115,865.8997,1585.9913,1354.1688,1939.1752
76,936.4917,911.1542,719.3223,1636.8976,1196.7686,1659.4265
77,842.93024,839.2048,671.7607,1479.5568,1505.4215,1538.5045
78,794.32904,997.87146,704.02496,1416.3245,1568.238,1725.3744
79,757.5172,901.904,749.3495,1629.0438,1731.067,1669.6868
80,938.935,942.73724,716.47296,1400.3782,1375.6954,1543.4988
81,964.0531,1000.34705,828.25146,1424.1987,1481.1726,1416.9336
82,921.04565,843.28296,869.4392,1549.432,1574.9651,1682.4435
83,1045.5736,910.6867,859.4406,1485.0334,1774.4535,1641.6294
84,939.275,1061.6705,926.4165,1254.3185,1735.8938,1497.304
85,951.35486,988.3255,895.90967,1494.4493,1811.3538,1423.5166
86,797.5894,843.0344,1052.0004,1338.9427,1708.1654,1696.0201
87,759.2234,984.2957,1070.7659,1791.4109,1702.2164,1722.2922
88,1053.0791,821.4847,1045.3411,1376.0717,1811.3044,1572.137
89,1133.0033,850.41895,852.6205,1256.555,1689.1633,1448.4314
90,1053.285,868.0042,1006.6175,1333.4885,1594.143,1341.5376
91,804.9875,865.25165,982.3784,1397.1045,1678.59,1302.3035
92,891.5762,852.2512,758.1909,1607.3572,1637.9038,1354.2195
93,842.6873,714.85565,777.41003,1618.9323,1548.8823,1527.0406
94,820.00305,953.7926,895.69885,1526.8416,1537.565,1463.9685
95,675.56104,865.61786,1065.4645,1462.1636,1504.8441,1355.8768
96,805.67206,870.7687,947.43256,1514.6963,1322.9996,1306.8827
97,794.2429,807.7965,899.4349,1507.7115,1328.6459,1387.531
98,736.7524,891.6116,872.14166,1552.2238,1570.6305,1568.0018
99,683.83606,730.7275,792.1893,1538.2218,1350.1941,1430.1195
100,754.9538,705.7338,825.0811,1425.6066,1293.1202,1612.7107
101,680.277,719.4345,922.504,1342.416,1398.9766,1571.8691
102,720.5782,729.63885,923.2635,1508.6472,1393.5732,1475.61
103,948.222,870.4968,1007.79083,1590.5886,1345.8013,1308.2705
104,1053.7446,738.22046,985.3041,1442.3846,1485.3087,1291.2952
105,1056.7318,766.00037,938.47015,1378.0452,1345.2913,1244.4902
106,892.128,867.31445,871.8867,1352.5807,1244.6189,1310.6433
107,907.6235,814.9292,820.6692,1406.5103,1422.5732,1557.2622
108,892.04596,667.83484,815.23834,1453.9281,1501.1073,1571.7067
109,895.5298,758.3317,728.9659,1279.6073,1436.978,1502.2247
110,924.7668,757.4231,887.602,1279.3069,1646.1351,1370.1744
111,841.30206,937.9258,844.7638,1224.3666,1831.1788,1368.6464
112,916.52,906.4798,948.1286,1423.3804,1691.3933,1356.1191
113,934.8443,869.02716,948.48517,1391.0491,1494.0745,1344.0175
114,887.741,664.8862,1017.58466,1703.1776,1679.195,1416.4211
115,800.41254,958.4143,850.8692,1658.1945,1606.0299,1385.729
116,793.1321,882.50366,851.4256,1641.0961,1582.7902,1317.8624
117,705.6472,697.3903,792.67993,1387.4508,1601.5499,1344.9652
118,889.2016,814.39636,729.45245,1456.4149,1309.7145,1650.3923
119,914.61847,820.7818,935.3185,1594.3134,1219.2532,1412.501
120,1107.5847,884.47156,889.9118,1367.6315,1556.0251,1524.1595
121,1092.2081,969.3829,746.7647,1641.0985,1494.5342,1676.9575
122,772.2733,729.18365,718.80505,1718.5643,1502.4954,1723.2292
123,892.8451,713.0713,771.18915,1826.4216,1672.2606,1657.9012
124,807.0313,704.63306,740.17426,1666.8187,1813.5284,1786.9012
125,731.6832,888.5917,729.2507,1329.8922,1555.4348,1624.8466
126,944.6553,869.0355,844.9722,1169.3568,1384.2772,1534.2924
127,1026.1382,1116.8186,798.0079,1474.8518,1490.2303,1547.6638
128,1021.7879,891.6769,767.0597,1503.2114,1446.5898,1774.7626
129,920.4295,839.6216,846.9641,1612.4225,1700.9701,1441.029
130,1030.6993,817.4096,882.77057,1512.3267,1382.5494,1278.6799
131,1037.4493,839.9169,948.9963,1455.0345,1545.2281,1339.8844
132,776.08325,921.07056,1053.6292,1321.1696,1760.1018,1352.4047
133,824.536,1072.1925,957.60974,1546.8561,1448.1302,1207.2089
134,825.3222,1049.5233,886.0694,1462.5878,1700.3145,1395.5651
135,789.0762,830.58777,965.2675,1420.6483,1485.047,1656.0635
136,786.37476,860.08136,1062.2021,1568.5593,1495.2145,1591.9081
137,861.3925,838.8057,1049.0411,1744.3158,1476.395,1315.8405
138,770.5402,834.90704,968.5471,1622.0153,1566.9955,1318.3795
139,812.2987,993.6321,857.75354,1391.0464,1682.1709,1591.3635
140,778.1678,914.6233,930.0846,1556.5076,1652.924,1600.2693
141,813.7894,946.8948,899.52606,1592.1971,1394.1248,1506.4342
142,936.4648,946.6637,853.0961,1600.9061,1675.6852,1684.6045
143,856.62805,948.5219,836.506,1392.6613,1594.525,1448.4062
144,895.271,915.7928,645.5247,1334.6138,1736.3163,1629.0999
145,1134.1213,807.9681,798.72394,1500.938,1707.4037,1549.9166
146,983.0632,839.6139,780.86523,1445.4629,1367.1356,1547.1542
147,765.91815,829.7719,737.5751,1474.994,1533.5145,1273.8943
148,923.2981,904.3811,870.02155,1608.0,1658.9192,1354.3416
149,989.9525,1044.683,834.2354,1355.3167,1668.622,1301.348
150,1043.9167,930.0731,848.2254,1404.1647,1601.6748,1298.8945
151,1041.1873,860.1086,844.617,1554.3698,1550.0691,1222.8918
152,887.8135,833.17535,962.2986,1505.6648,1515.1653,1540.4011
153,915.74603,1006.1674,991.8448,1442.1224,1503.0028,1533.8708
154,1008.28064,1038.428,802.88226,1433.196,1239.8007,1352.002
155,912.0172,941.2799,951.77203,1503.292,1379.6946,1400.4036
156,785.68945,877.91486,998.2386,1785.6058,1547.1031,1517.7881
