,ETMX_Z,ITMY_Z,ETMY_Z,ETMX_X,ITMY_Y,ETMY_Y
0,662.17,502.62717,646.9353,1098.6063,1212.9585,1265.3882
1,511.0827,552.98755,635.6396,1086.2893,1328.7865,1324.739
2,466.4143,533.4688,610.3898,1416.9795,1407.2264,1207.5875
3,597.1177,520.65875,489.43832,1574.9623,1439.3835,997.8497
4,568.0222,500.5596,638.35443,1488.8347,1455.2421,1240.8187
5,596.1358,515.21466,619.40204,1510.5,1380.3928,1204.0664
6,700.6298,561.4164,581.1112,1341.0013,1162.4124,1113.0422
7,692.4619,557.48553,580.5031,1171.0441,1217.6134,1329.8186
8,681.0728,539.92206,620.55096,1349.706,1190.6967,1348.0071
9,641.1191,539.6763,555.7995,1258.9064,1188.1096,1220.4701
10,533.4141,588.8017,500.69125,1165.3895,1236.545,1125.6616
11,546.3596,562.9701,598.5199,1331.0066,1405.8849,1522.7999
12,596.45544,647.4941,658.4768,1271.5657,1296.4728,1352.0798
13,592.3558,677.6318,742.06555,1184.6688,1298.1482,1043.7393
14,552.2808,568.19806,703.8702,1072.5952,1088.457,965.17175
15,507.86288,641.3958,605.03577,1046.3917,1047.0283,1135.39
16,598.4437,567.7729,551.0937,948.41785,954.70123,1129.6852
17,552.7902,522.0514,615.7375,1070.153,1060.2037,1196.233
18,580.2644,525.9834,597.61194,1200.9248,1039.3232,1110.1118
19,586.4328,552.41077,594.42426,1043.2771,1181.1581,1197.2479
20,541.70593,484.09558,495.9908,997.0573,1160.1145,929.65204
21,504.01306,573.5877,549.61957,1006.86646,1163.8705,860.14594
22,487.9051,555.4309,507.40854,990.63916,1038.4775,946.8104
23,554.1687,527.07916,430.0983,958.39886,973.5644,880.44586
24,606.25946,593.2939,445.775,1173.4606,1092.1072,1050.652
25,666.3938,595.0909,515.2108,1335.4701,1586.1581,1401.633
26,624.5555,534.1789,561.3799,1053.9083,1436.4675,1344.7543
27,571.2975,494.02533,564.72736,880.26324,1291.9418,1287.9852
28,587.95215,550.5955,560.5288,1185.4076,1168.6794,1152.3395
29,561.1058,589.12665,664.50714,1231.7528,1222.1489,986.02576
